Latitude(deg),Longitude(deg),CPR,DOP,SLI_Row,SLI_Col
-87.687339,67.828181,1.189260,0.119817,2207,407
-87.687330,67.828611,1.264197,0.123358,2208,407
-87.686945,67.824094,1.018322,0.027814,2208,408
-87.686935,67.824518,1.111689,0.068299,2209,408
-87.686551,67.820001,1.003103,0.090572,2209,409
-87.686925,67.824943,1.162340,0.095396,2210,408
-87.686541,67.820426,1.053814,0.091258,2210,409
-87.686915,67.825368,1.191425,0.117529,2211,408
-87.686530,67.820851,1.062079,0.085940,2211,409
-87.686905,67.825792,1.199907,0.120863,2212,408
-87.686520,67.821276,1.049634,0.101658,2212,409
-87.686895,67.826217,1.162244,0.127248,2213,408
-87.686510,67.821700,1.022860,0.129986,2213,409
-87.691347,67.951490,1.038390,0.107697,2347,393
-87.691337,67.951916,1.044831,0.028071,2348,393
-87.691327,67.952342,1.117747,0.057334,2349,393
-87.691317,67.952767,1.185708,0.108922,2350,393
-87.689993,68.206681,1.135258,0.095747,2844,384
-87.689984,68.207118,1.153832,0.094411,2845,384
-87.689975,68.207555,1.150887,0.091262,2846,384
-87.689966,68.207992,1.153532,0.080123,2847,384
-87.689957,68.208428,1.125124,0.061914,2848,384
-87.689948,68.208863,1.110821,0.055938,2849,384
-87.689938,68.209299,1.126183,0.061812,2850,384
-87.689929,68.209735,1.137037,0.069098,2851,384
-87.689920,68.210170,1.143102,0.074066,2852,384
-87.689911,68.210606,1.144499,0.072154,2853,384
-87.689901,68.211042,1.161629,0.077135,2854,384
-87.689892,68.211477,1.160557,0.084410,2855,384
-87.689883,68.211913,1.132657,0.111899,2856,384
-87.684702,68.202842,1.038420,0.128292,2953,394
-87.684542,68.209646,1.110934,0.107158,2969,394
-87.684133,68.204793,1.079934,0.115980,2969,395
-87.684532,68.210071,1.074292,0.081473,2970,394
-87.684123,68.205217,1.096345,0.074888,2970,395
-87.684522,68.210497,1.039658,0.062644,2971,394
-87.684113,68.205642,1.096767,0.058150,2971,395
-87.684512,68.210922,1.077627,0.074576,2972,394
-87.684103,68.206066,1.138348,0.075161,2972,395
-87.684502,68.211347,1.110754,0.073970,2973,394
-87.684093,68.206490,1.195345,0.091054,2973,395
-87.684492,68.211772,1.081465,0.063191,2974,394
-87.684082,68.206914,1.199023,0.091713,2974,395
-87.684482,68.212198,1.049315,0.063583,2975,394
-87.684072,68.207339,1.186704,0.088063,2975,395
-87.677526,68.129595,1.061253,0.125727,2975,411
-87.684471,68.212618,1.044721,0.058148,2976,394
-87.684062,68.207758,1.178075,0.097185,2976,395
-87.684460,68.213034,1.090933,0.089532,2977,394
-87.684051,68.208173,1.207921,0.124012,2977,395
-87.677502,68.130401,1.031993,0.124674,2977,411
-87.673564,68.423402,1.032434,0.105117,3603,401
-87.673550,68.423777,1.090171,0.119760,3604,401
-87.673799,68.434352,1.004264,0.106214,3618,400
-87.673785,68.434728,1.022434,0.096618,3619,400
-87.673771,68.435104,1.025278,0.117607,3620,400
-87.674188,68.441186,1.035961,0.096461,3622,399
-87.673548,68.441123,1.203453,0.122079,3636,400
-87.673534,68.441499,1.191750,0.117976,3637,400
